ISO6391,ISO6392,ISO6392.syn,en_name,scope,type
aa,aar,aar,afar,individual,living
ab,abk,abk,abkhazian,individual,living
ae,ave,ave,avestan,individual,ancient
af,afr,afr,afrikaans,individual,living
ak,aka,aka,akan,macrolanguage,living
am,amh,amh,amharic,individual,living
an,arg,arg,aragonese,individual,living
ar,ara,ara,arabic,macrolanguage,living
as,asm,asm,assamese,individual,living
av,ava,ava,avaric,individual,living
ay,aym,aym,aymara,macrolanguage,living
az,aze,aze,azerbaijani,macrolanguage,living
ba,bak,bak,bashkir,individual,living
be,bel,bel,belarusian,individual,living
bg,bul,bul,bulgarian,individual,living
bh,bih,bih,bihari languages,collective,
bi,bis,bis,bislama,individual,living
bm,bam,bam,bambara,individual,living
bn,ben,ben,bengali,individual,living
bo,bod,tib,tibetan,individual,living
br,bre,bre,breton,individual,living
bs,bos,bos,bosnian,individual,living
ca,cat,cat,catalan,individual,living
ce,che,che,chechen,individual,living
ch,cha,cha,chamorro,individual,living
co,cos,cos,corsican,individual,living
cr,cre,cre,cree,macrolanguage,living
cs,ces,cze,czech,individual,living
cu,chu,chu,church slavic,individual,ancient
cv,chv,chv,chuvash,individual,living
cy,cym,wel,welsh,individual,living
da,dan,dan,danish,individual,living
de,deu,ger,german,individual,living
dv,div,div,dhivehi,individual,living
dz,dzo,dzo,dzongkha,individual,living
ee,ewe,ewe,ewe,individual,living
el,ell,gre,modern greek,individual,living
en,eng,eng,english,individual,living
eo,epo,epo,esperanto,individual,constructed
es,spa,spa,spanish,individual,living
et,est,est,estonian,macrolanguage,living
eu,eus,baq,basque,individual,living
fa,fas,per,persian,macrolanguage,living
ff,ful,ful,fulah,macrolanguage,living
fi,fin,fin,finnish,individual,living
fj,fij,fij,fijian,individual,living
fo,fao,fao,faroese,individual,living
fr,fra,fre,french,individual,living
fy,fry,fry,western frisian,individual,living
ga,gle,gle,irish,individual,living
gd,gla,gla,scottish gaelic,individual,living
gl,glg,glg,galician,individual,living
gn,grn,grn,guarani,macrolanguage,living
gu,guj,guj,gujarati,individual,living
gv,glv,glv,manx,individual,living
ha,hau,hau,hausa,individual,living
he,heb,heb,hebrew,individual,living
hi,hin,hin,hindi,individual,living
ho,hmo,hmo,hiri motu,individual,living
hr,hrv,hrv,croatian,individual,living
ht,hat,hat,haitian,individual,living
hu,hun,hun,hungarian,individual,living
hy,hye,arm,armenian,individual,living
hz,her,her,herero,individual,living
ia,ina,ina,interlingua,individual,constructed
id,ind,ind,indonesian,individual,living
ie,ile,ile,interlingue,individual,constructed
ig,ibo,ibo,igbo,individual,living
ii,iii,iii,sichuan yi,individual,living
ik,ipk,ipk,inupiaq,macrolanguage,living
io,ido,ido,ido,individual,constructed
is,isl,ice,icelandic,individual,living
it,ita,ita,italian,individual,living
iu,iku,iku,inuktitut,macrolanguage,living
ja,jpn,jpn,japanese,individual,living
jv,jav,jav,javanese,individual,living
ka,kat,geo,georgian,individual,living
kg,kon,kon,kongo,macrolanguage,living
ki,kik,kik,kikuyu,individual,living
kj,kua,kua,kuanyama,individual,living
kk,kaz,kaz,kazakh,individual,living
kl,kal,kal,kalaallisut,individual,living
km,khm,khm,central khmer,individual,living
kn,kan,kan,kannada,individual,living
ko,kor,kor,korean,individual,living
kr,kau,kau,kanuri,macrolanguage,living
ks,kas,kas,kashmiri,individual,living
ku,kur,kur,kurdish,macrolanguage,living
kv,kom,kom,komi,macrolanguage,living
kw,cor,cor,cornish,individual,living
ky,kir,kir,kirghiz,individual,living
la,lat,lat,latin,individual,ancient
lb,ltz,ltz,luxembourgish,individual,living
lg,lug,lug,ganda,individual,living
li,lim,lim,limburgan,individual,living
ln,lin,lin,lingala,individual,living
lo,lao,lao,lao,individual,living
lt,lit,lit,lithuanian,individual,living
lu,lub,lub,luba-katanga,individual,living
lv,lav,lav,latvian,macrolanguage,living
mg,mlg,mlg,malagasy,macrolanguage,living
mh,mah,mah,marshallese,individual,living
mi,mri,mao,maori,individual,living
mk,mkd,mac,macedonian,individual,living
ml,mal,mal,malayalam,individual,living
mn,mon,mon,mongolian,macrolanguage,living
mr,mar,mar,marathi,individual,living
ms,msa,may,malay,macrolanguage,living
mt,mlt,mlt,maltese,individual,living
my,mya,bur,burmese,individual,living
na,nau,nau,nauru,individual,living
nb,nob,nob,norwegian bokmål,individual,living
nd,nde,nde,north ndebele,individual,living
ne,nep,nep,nepali,macrolanguage,living
ng,ndo,ndo,ndonga,individual,living
nl,nld,dut,dutch,individual,living
nn,nno,nno,norwegian nynorsk,individual,living
no,nor,nor,norwegian,macrolanguage,living
nr,nbl,nbl,south ndebele,individual,living
nv,nav,nav,navajo,individual,living
ny,nya,nya,nyanja,individual,living
oc,oci,oci,occitan,individual,living
oj,oji,oji,ojibwa,macrolanguage,living
om,orm,orm,oromo,macrolanguage,living
or,ori,ori,odiya,macrolanguage,living
os,oss,oss,ossetian,individual,living
pa,pan,pan,panjabi,individual,living
pi,pli,pli,pali,individual,ancient
pl,pol,pol,polish,individual,living
ps,pus,pus,pushto,macrolanguage,living
pt,por,por,portuguese,individual,living
qu,que,que,quechua,macrolanguage,living
rm,roh,roh,romansh,individual,living
rn,run,run,rundi,individual,living
ro,ron,rum,romanian,individual,living
ru,rus,rus,russian,individual,living
rw,kin,kin,kinyarwanda,individual,living
sa,san,san,sanskrit,individual,ancient
sc,srd,srd,sardinian,macrolanguage,living
sd,snd,snd,sindhi,individual,living
se,sme,sme,northern sami,individual,living
sg,sag,sag,sango,individual,living
si,sin,sin,sinhala,individual,living
sk,slk,slo,slovak,individual,living
sl,slv,slv,slovenian,individual,living
sm,smo,smo,samoan,individual,living
sn,sna,sna,shona,individual,living
so,som,som,somali,individual,living
sq,sqi,alb,albanian,macrolanguage,living
sr,srp,srp,serbian,individual,living
ss,ssw,ssw,swati,individual,living
st,sot,sot,southern sotho,individual,living
su,sun,sun,sundanese,individual,living
sv,swe,swe,swedish,individual,living
sw,swa,swa,swahili,macrolanguage,living
ta,tam,tam,tamil,individual,living
te,tel,tel,telugu,individual,living
tg,tgk,tgk,tajik,individual,living
th,tha,tha,thai,individual,living
ti,tir,tir,tigrinya,individual,living
tk,tuk,tuk,turkmen,individual,living
tl,tgl,tgl,tagalog,individual,living
tn,tsn,tsn,tswana,individual,living
to,ton,ton,tonga,individual,living
tr,tur,tur,turkish,individual,living
ts,tso,tso,tsonga,individual,living
tt,tat,tat,tatar,individual,living
tw,twi,twi,twi,individual,living
ty,tah,tah,tahitian,individual,living
ug,uig,uig,uighur,individual,living
uk,ukr,ukr,ukrainian,individual,living
ur,urd,urd,urdu,individual,living
uz,uzb,uzb,uzbek,macrolanguage,living
ve,ven,ven,venda,individual,living
vi,vie,vie,vietnamese,individual,living
vo,vol,vol,volapük,individual,constructed
wa,wln,wln,walloon,individual,living
wo,wol,wol,wolof,individual,living
xh,xho,xho,xhosa,individual,living
yi,yid,yid,yiddish,macrolanguage,living
yo,yor,yor,yoruba,individual,living
za,zha,zha,zhuang,macrolanguage,living
zh,zho,chi,chinese,macrolanguage,living
zu,zul,zul,zulu,individual,living
,aav,aav,austro-asiatic languages,collective,
,ace,ace,achinese,individual,living
,ach,ach,acoli,individual,living
,ada,ada,adangme,individual,living
,ady,ady,adyghe,individual,living
,afa,afa,afro-asiatic languages,collective,
,afh,afh,afrihili,individual,constructed
,ain,ain,ainu,individual,living
,akk,akk,akkadian,individual,ancient
,ale,ale,aleut,individual,living
,alg,alg,algonquian languages,collective,
,alt,alt,southern altai,individual,living
,alv,alv,atlantic-congo languages,collective,
,ang,ang,old english,individual,historical
,anp,anp,angika,individual,living
,apa,apa,apache languages,collective,
,aqa,aqa,alacalufan languages,collective,
,aql,aql,algic languages,collective,
,arc,arc,official aramaic,individual,ancient
,arn,arn,mapudungun,individual,living
,arp,arp,arapaho,individual,living
,art,art,artificial languages,collective,
,arw,arw,arawak,individual,living
,ast,ast,asturian,individual,living
,ath,ath,athapascan languages,collective,
,auf,auf,arauan languages,collective,
,aus,aus,australian languages,collective,
,awa,awa,awadhi,individual,living
,awd,awd,arawakan languages,collective,
,azc,azc,uto-aztecan languages,collective,
,bad,bad,banda languages,collective,
,bai,bai,bamileke languages,collective,
,bal,bal,baluchi,macrolanguage,living
,ban,ban,balinese,individual,living
,bas,bas,basa,individual,living
,bat,bat,baltic languages,collective,
,bej,bej,beja,individual,living
,bem,bem,bemba,individual,living
,ber,ber,berber languages,collective,
,bho,bho,bhojpuri,individual,living
,bik,bik,bikol,macrolanguage,living
,bin,bin,bini,individual,living
,bla,bla,siksika,individual,living
,bnt,bnt,bantu languages,collective,
,bra,bra,braj,individual,living
,btk,btk,batak languages,collective,
,bua,bua,buriat,macrolanguage,living
,bug,bug,buginese,individual,living
,byn,byn,bilin,individual,living
,cad,cad,caddo,individual,living
,cai,cai,central american indian languages,collective,
,car,car,galibi carib,individual,living
,cau,cau,caucasian languages,collective,
